,Date,Unemployment
808,808,5.6
809,809,5.3
810,810,5.2
811,811,5.1
812,812,5.0
813,813,5.0
814,814,5.1
815,815,5.0
816,816,4.8
817,817,4.9
818,818,5.0
819,819,5.1
820,820,4.8
821,821,4.9
822,822,4.8
823,823,4.9
824,824,5.0
825,825,4.9
826,826,4.7
827,827,4.7
828,828,4.7
829,829,4.6
830,830,4.4
831,831,4.4
832,832,4.4
833,833,4.3
834,834,4.3
835,835,4.4
836,836,4.3
837,837,4.2
838,838,4.2
839,839,4.1
840,840,4.0
841,841,4.1
842,842,4.0
843,843,4.0
844,844,3.8
845,845,4.0
846,846,3.8
847,847,3.8
848,848,3.7
849,849,3.8
850,850,3.8
851,851,3.9
852,852,4.0
853,853,3.8
854,854,3.8
855,855,3.7
856,856,3.6
857,857,3.6
858,858,3.7
859,859,3.6
860,860,3.5
861,861,3.6
862,862,3.6
863,863,3.6
864,864,3.6
865,865,3.5
866,866,4.4
867,867,14.8
868,868,13.2
869,869,11.0
870,870,10.2
871,871,8.4
872,872,7.8
873,873,6.8
874,874,6.7
875,875,6.7
876,876,6.4
877,877,6.2
878,878,6.1
879,879,6.1
880,880,5.8
881,881,5.9
882,882,5.4
883,883,5.1
884,884,4.7
885,885,4.5
886,886,4.1
887,887,3.9
888,888,4.0
889,889,3.8
890,890,3.6
891,891,3.7
892,892,3.6
893,893,3.6
894,894,3.5
895,895,3.6
896,896,3.5
897,897,3.6
898,898,3.6
899,899,3.5
900,900,3.4
901,901,3.6
902,902,3.5
903,903,3.4
904,904,3.7
905,905,3.6
906,906,3.5
907,907,3.8
908,908,3.8
909,909,3.8
910,910,3.7
911,911,3.7
912,912,3.7
913,913,3.9
914,914,3.8
915,915,3.9
